,State,Homeless_Individuals,Homeless_People_in_Families,Homeless_Veterans,Total_Homeless,Sheltered_Homeless_Individuals,Sheltered_Homeless_People_in_Families,Sheltered_Homeless_Veterans,Total_Sheltered_Homeless,Unsheltered_Homeless_Individuals,Unsheltered_Homeless_People_in_Families,Unsheltered_Homeless_Veterans,Total_Unsheltered_Homeless
1,AK,12510,6300,1280,8461,10434,5734,1072,9667,2076,566,208,2642
2,AL,27944,13015,3085,32438,25547,9909,2297,27773,12501,3106,788,13199
3,AR,13908,7120,2274,16387,11970,4649,1563,15265,9473,2471,711,11902
4,AZ,0,13127,7342,0,7925,12677,4896,956,6112,4158,2446,4503
5,CA,83852,115978,43284,77901,99711,103826,19011,121195,92643,47356,33005,96439
6,CO,7310,5227,5833,0,10279,10684,3523,8585,8085,3791,2444,7834
7,CT,6229,6074,1909,6235,4691,8729,1583,7705,6494,452,326,6946
8,DC,0,0,2709,0,0,0,2454,0,4223,0,255,4223
9,DE,6613,3406,489,4715,6085,3378,469,6348,528,28,20,556
10,FL,91913,71359,27860,59620,64257,52463,13426,81366,100084,36974,14434,74661
11,GA,18884,11325,7922,22867,18972,11353,5113,20048,11366,4256,5278,12134
12,GU,3128,4446,176,1450,409,1005,28,1414,2719,6780,148,3123
13,HI,935,4663,3525,0,11127,4792,1460,7520,6239,6760,2065,925
14,IA,15482,6514,1292,8046,13907,6399,1186,9314,1575,192,106,1767
15,ID,11740,8023,1449,8364,7891,6470,1026,14361,3849,1553,423,5402
16,IL,39897,35195,6904,64561,31729,31986,4855,54970,10711,3698,2049,14104
17,IN,6646,6842,4322,5569,8110,6801,3878,5610,8138,1505,444,6539
18,KS,12122,8827,1758,15227,10395,8430,1582,15448,1727,397,176,2124
19,KY,7931,12599,3386,0,18909,12584,3009,0,7047,2372,377,7076
20,LA,21219,16857,3653,25680,22359,13581,2321,28022,7845,3276,1332,10369
21,MA,41987,37613,7048,51199,35923,36782,6790,46123,8070,857,258,8927
22,MD,31421,31450,3909,39452,21565,26054,3230,38768,14259,6318,679,15566
23,ME,12484,4927,856,7131,12010,4899,792,7017,474,94,64,568
24,MI,43349,38021,6087,68869,34788,35978,5278,56045,17194,5929,809,22113
25,MN,19464,25139,2000,30896,15117,22811,1664,24254,7747,2515,336,10262
26,MO,25307,30873,4647,21166,29304,27924,3738,19069,11126,5853,909,16979
27,MS,15231,5508,1288,15054,7047,4028,680,11075,9392,1480,608,10872
28,MT,4087,5877,1581,0,5335,4527,684,4224,4517,1350,897,5867
29,NC,43945,26877,6928,42370,32168,25770,5582,39623,23018,9490,1346,26441
30,ND,5158,3281,929,5037,4674,2221,595,6895,1714,1060,334,1379
31,NE,11779,12367,1449,10943,12525,11873,1293,13099,2765,1523,156,4288
32,NH,9111,6974,810,14785,6823,6240,751,13063,2288,734,59,3022
33,NJ,61347,52391,3825,57160,52930,49528,3208,58090,12004,3043,617,15047
34,NM,10232,10681,1762,0,12586,8969,1228,4266,7016,1712,534,8728
35,NV,9177,5715,3724,11669,6523,7371,3359,8851,2654,2188,2647,2818
36,NY,58936,29738,6357,63752,54923,28701,5807,60494,9282,1055,2248,10337
37,OH,32208,25683,7084,30147,31953,25013,6187,29901,12806,3439,897,11817
38,OK,20294,13463,2314,25070,20507,9637,1724,22143,9296,3826,590,13122
39,OR,16641,19542,8421,21381,10762,15891,3996,17184,15150,9636,4425,16591
40,PA,43906,34383,8232,51877,39941,33643,7592,49093,11716,1067,640,12783
41,PR,663,5345,732,707,9814,3023,256,12837,5353,2322,476,6245
42,RI,6707,4803,620,0,6281,4781,614,0,477,22,6,499
43,SC,15198,15239,3913,5367,20092,10350,2375,14596,15938,4889,1538,14881
44,SD,4623,3769,787,5190,3906,3433,726,7339,717,336,61,1053
45,TN,30210,25475,6159,37164,23909,17148,4763,27472,22194,8327,1396,18870
46,TX,16264,28170,12370,13188,26374,28165,10607,15762,16575,5632,5748,15296
47,UT,5322,13024,1991,9686,6469,12675,1814,7720,3148,349,177,3497
48,VA,47995,31148,4270,58868,36814,29219,3607,52674,11181,1929,663,13110
49,VI,4374,369,196,4743,624,369,10,993,3750,0,186,3750
50,VT,7095,5285,667,10301,5582,4927,600,10509,1513,358,67,1871
51,WA,25524,19030,8481,13396,18816,19999,6296,17198,11127,9159,2185,11614
52,WI,14251,9984,3167,9446,14092,9492,3040,8645,3551,2241,127,5792
53,WV,9210,5585,1680,8123,9542,4355,1403,13644,4063,1230,277,5293
54,WY,3832,3464,846,5747,2749,1965,511,4714,1375,1499,335,2546
